NWSID,NOSID,Name,State,ETSS Lon,ETSS Lat,ETSS proximity,ETSS URL,ESTOFS Lon,ETSOFS Lat,ESTOFS proximity,ESTOFS URL,COOPS Lon,COOPS Lat,ETSS HAT-ft,ETSS MHHW-ft,ETSS MSL-ft,ETSS MLLW-ft,Minor MLLW ft,Moderate MLLW ft,Major MLLW ft,MHHW m,MLLW m,MHHW MLLW ft,Minor MHHW ft,Moderate MHHW ft,Major MHHW ft
TCBM2,8573364,Tolchester-Beach-MD,MD,-76.245,39.2133,3.33E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8573364&datum=MLLW&show=1-1-0-1-1,-76.248,39.2134,0.0023492,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8573364.png,-76.245,39.2133,5.81,5.14,4.25,3.41,3.5,4.5,5.5,1.567,1.04,1.73,1.8,2.8,3.8
APAM2,8575512,Annapolis-MD,MD,-76.48,38.9833,0.001296,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8575512&datum=MLLW&show=1-1-0-1-1,-76.4805,38.9849,0.001818,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8575512.png,-76.4817,38.9833,6.46,5.95,5.24,4.52,2.4,3.3,6,1.815,1.377,1.44,1,1.9,4.6
BISM2,8571421,Bishops-Head-MD,MD,-76.0383,38.22,2.62E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8571421&datum=MLLW&show=1-1-0-1-1,-76.0383,38.2195,0.00053016,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8571421.png,-76.0383,38.22,31.44,30.99,29.96,28.94,3.2,3.7,4.2,9.445,8.821,2.05,1.2,1.7,2.2
HDGM2,8574070,Havre-de-Grace-MD,MD,-76.0897,39.5378,0.0011567,,,,,,-76.09,39.5367,9.468,8.76,7.5,6.32, , , , , , , , , 
PPTM2,8578240,Piney-Point-MD,MD,-76.5333,38.1333,4.24E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8578240&datum=MLLW&show=1-1-0-1-1,,,,,-76.5333,38.1333,1.62,1.62,0.81, , , , , , , , , , 
BRIM2,ZZZZZZ0,Bristol-MD,MD,-76.7136,38.7814,,,,,,,,, , , , , , , , , , , , , 
LTQM2,ZZZZZZ0,Otter-Point-MD,MD,-76.2747,39.4508,,,,,,,,, , , , , , , , , , , , , 
BQTM2,ZZZZZZ0,Bowleys-Quarters-MD,MD,-76.39,39.31,,,,,,,,, , , , , , , , , , , , , 
CHBM2,8576363,Chesapeake-Beach-MD,MD,-76.5333,38.7,2.60E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8576363&datum=MLLW&show=1-1-0-1-1,,,,,-76.5333,38.7,1.4,1.4,0.69, , , , , , , , , , 
PLKM2,8578002,Point-Lookout-MD,MD,-76.3233,38.04,2.63E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8578002&datum=MLLW&show=1-1-0-1-1,,,,,-76.3233,38.04,1.52,1.52,0.78, , , , , , , , , , 
CPTM2,8578465,Colton-Point-MD,MD,-76.7483,38.2233,4.24E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8578465&datum=MLLW&show=1-1-0-1-1,,,,,-76.7483,38.2233,1.89,1.89,0.94, , , , , , , , , , 
WASD2,8594900,Washington-DC,DC,-77.0216,38.8733,6.17E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8594900&datum=MLLW&show=1-1-0-1-1,-77.0217,38.8733,4.22E-05,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8594900.png,-77.0217,38.8733,8.36,7.72,6.1,4.56,4.2,5.3,7,2.353,1.387,3.17,1,2.1,3.8
ANAD2,8593909,Kenilworth-Aquatic-Garden-DC,DC,-76.955,38.91,0,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8593909&datum=MLLW&show=1-1-0-1-1,,,,,-76.955,38.91,2.95,1.78,0.08,-1.52, , , , , , , , , 
ALEV2,8590111,Bellevue-DC,DC,-77.0267,38.8267,4.23E-05,,,,,,-77.0267,38.8267, , , , , , , , , , , , , 
WNDV2,8636580,Windmill-Point-VA,VA,-76.29,37.615,0,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8636580&datum=MLLW&show=1-1-0-1-1,-76.2901,37.6106,0.0043706,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8636580.png,-76.29,37.615,4.27,3.65,2.96,2.26,3,3.5,4,1.113,0.689,1.39,1.6,2.1,2.6
SWPV2,8638610,Sewells-Point-VA,VA,-76.3316,36.9467,0.0012791,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8638610&datum=MLLW&show=1-1-0-1-1,-76.33,36.9467,3.33E-05,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8638610.png,-76.33,36.9467,8.01,7.14,5.73,4.38,4.5,5.5,6.5,2.176,1.336,2.76,1.7,2.7,3.7
MNPV2,8639348,Portsmouth-(Money-Point)-VA,VA,-76.2933,36.8216,0.043782,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8639348&datum=MLLW&show=1-1-0-1-1,-76.3017,36.778,0.0003344,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8639348.png,-76.3017,36.7783,25.75,24.82,23.18,21.61,5,6,7,7.564,6.587,3.21,1.8,2.8,3.8
ZZZZZ,8635150,Colonial-Beach-VA,VA,-76.96,38.2516,6.67E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8635150&datum=MLLW&show=1-1-0-1-1,,,,,-76.96,38.2517,5.1,4.35,3.29,2.38, , , , , , , , , 
YKTV2,8637689,Yorktown-USCG-VA,VA,-76.5,37.2466,0.026361,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8637689&datum=MLLW&show=1-1-0-1-1,-76.2711,37.3467,0.20394,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8637689.png,-76.4783,37.2267,8.72,7.78,6.44,5.2,4.5,5,5.5,2.372,1.586,2.58,1.9,2.4,2.9
KPTV2,8632200,Kiptopeke-Beach-VA,VA,-75.9883,37.1666,0.0016002,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8632200&datum=MLLW&show=1-1-0-1-1,-75.9884,37.1652,0.00020694,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8632200.png,-75.9883,37.165,7.5,6.56,5.05,3.63,4.5,5,5.5,2.001,1.105,2.94,1.6,2.1,2.6
CBBV2,8638863,Chesapeake-Bay-Br-Tunnel-VA,VA,-76.1133,36.9666,7.18E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8638863&datum=MLLW&show=1-1-0-1-1,-76.1133,36.9667,4.27E-05,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8638863.png,-76.1133,36.9667,29.16,28.18,26.69,25.27,5,5.5,6,8.588,7.704,2.9,2.1,2.6,3.1
CHBV2,8638901,CBBT-Chesapeake-Channel-VA,VA,-76.0833,37.0329,0.00043415,,,,,,-76.0833,37.0333, ,7.31,5.76,4.28, , , , , , , , , 
LWTV2,8635750,Lewisetta-VA,VA,-76.465,37.995,0,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8635750&datum=MLLW&show=1-1-0-1-1,-76.4645,37.995,0.00036375,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8635750.png,-76.465,37.995,6.72,6.27,5.53,4.77,3,3.5,4,1.913,1.454,1.5,1.5,2,2.5
WAHV2,8631044,Wachapreague-VA,VA,-75.6866,37.6066,0.0021473,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8631044&datum=MLLW&show=1-1-0-1-1,,,,,-75.685,37.6083,8.02,6.82,4.6,2.31,6.5,7.5,8,2.08,0.705,4.51,2,3,3.5
AXTV2,8634214,Alexandria-VA,VA,-77.0383,38.805,2.60E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8634214&datum=MLLW&show=1-1-0-1-1,,,,,-77.0383,38.805,1.63,1.63,0.12,-1.32, , , , , , , , , 
NCDV2,8635027,Dahlgren-VA,VA,-77.0367,38.32,2.62E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8635027&datum=MLLW&show=1-1-0-1-1,,,,,-77.0367,38.32,18.57,18.07,17.12,16.18,3.5,5,7,5.5,4.93,1.87,1.6,3.1,5.1
AQCV2,8634858,Aquia-Creek-VA,VA,-77.3533,38.4183,4.23E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8634858&datum=MLLW&show=1-1-0-1-1,,,,,-77.3533,38.4183,1.5,1.5,0.75, , , , , , , , , , 
QTGV2,8634689,Quantico-VA,VA,-77.2867,38.52,2.61E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8634689&datum=MLLW&show=1-1-0-1-1,,,,,-77.2867,38.52,1.62,1.62,0.86, , , , , , , , , , 
NMCV2,8638051,Messick-Point-VA,VA,-76.3183,37.1083,4.26E-05,,,,,,-76.3183,37.1083, , , , , , , , , , , , , 
FTMV2,8638288,Old-Point-Comfort-VA,VA,-76.315,37.0033,3.33E-05,,,,,,-76.315,37.0033, , , , , , , , , , , , , 
ELZV2,8638339,Western-Branch-VA,VA,-76.3983,36.8233,4.27E-05,,,,,,-76.3983,36.8233, ,30.36,28.77,27.24, , , , , , , , , 
JSFV2,8637712,Jamestown-VA,VA,-76.7915,37.2201,0.00021971,,,,,,-76.7917,37.22,22.99,22.27,21.19,20.12, , , , , , , , , 
MJBV2,8637444,Browns-Bay-VA,VA,-76.4275,37.3236,0.032185,,,,,,-76.4,37.3, ,2.68,1.29, , , , , , , , , , 
SAXV2,8633777,Saxis-Starling-Creek-VA,VA,-75.7275,37.9188,0.0029411,,,,,,-75.7283,37.9217, ,6.24,4.95,3.7, , , , , , , , , 
NSWV2,8632869,Gaskins-PT-VA,VA,-75.9353,37.4764,0.081624,,,,,,-75.9167,37.5567,4.17,3.73,2.69,1.68, , , , , , , , , 
NMDV2,8638409,Holidays-Points-VA,VA,-76.55,36.8383,3.33E-05,,,,,,-76.55,36.8383, , , , , , , , , , , , , 
CHIV2,8630440,Wallops-Island-VA,VA,-75.4078,37.9023,0.082319,,,,,,-75.4783,37.8417, ,2.81,1.34, , , , , , , , , , 
WLON7,8658120,Wilmington-NC,NC,-77.9533,34.2266,7.21E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8658120&datum=MLLW&show=1-1-0-1-1,-77.9533,34.2267,4.33E-05,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8658120.png,-77.9533,34.2267,8.1,7.13,4.89,2.45,5.5,6.7,,2.174,0.747,4.68,0.8,2,
JMPN7,8658163,Wrightsville-Beach-NC,NC,-77.795,34.21,0.0076552,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8658163&datum=MLLW&show=1-1-0-1-1,-77.7851,34.2128,0.0014243,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8658163.png,-77.7867,34.2133,24.88,23.31,20.98,18.83,6,8,10,7.104,5.793,4.3,1.7,3.7,5.7
BFTN7,8656483,Beaufort-Duke-NC,NC,-76.67,34.72,0,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8656483&datum=MLLW&show=1-1-0-1-1,-76.671,34.7203,0.00085911,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8656483.png,-76.67,34.72,6.35,5.38,3.55,1.84,4.5,5.5,6.5,1.64,0.562,3.54,1,2,3
ORIN7,8652587,Oregon-Inlet-Marina-NC,NC,-75.5483,35.795,2.70E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8652587&datum=MLLW&show=1-1-0-1-1,-75.5521,35.7927,0.0038108,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8652587.png,-75.5483,35.795,4.27,3.77,3.17,2.59,3,4.5,5.5,1.148,0.788,1.18,1.8,3.3,4.3
ZZZZZ,8654400,Cape-Hatteras-NC,NC,-75.635,35.2233,3.33E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8654400&datum=MLLW&show=1-1-0-1-1,,,,,-75.635,35.2233,7.54,6.34,4.46,2.81, , , , , , , , , 
DUKN7,8651370,Duck-Pier-NC,NC,-75.7466,36.1833,6.33E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8651370&datum=MLLW&show=1-1-0-1-1,-75.7463,36.1835,0.00036761,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8651370.png,-75.7467,36.1833,23.52,22.27,20.35,18.58,5.5,6,6.5,6.787,5.663,3.69,1.8,2.3,2.8
ZZZZZ,8656502,Morehead-City-NC,NC,-76.7266,34.72,0.013644,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8656502&datum=MLLW&show=1-1-0-1-1,,,,,-76.71,34.72,8,6.12,4.35,2.63, , , , , , , , , 
ZZZZZ,0000017,Holden-Beach-NC,NC,-78.3039,33.9133,,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=0000017&datum=MLLW&show=1-1-0-1-1,,,,,,,6.45,4,2, , , , , , , , , , 
HCGN7,8654467,Uscg-Station-Hatteras-NC,NC,-75.7033,35.2083,4.30E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8654467&datum=MLLW&show=1-1-0-1-1,-75.7026,35.211,0.0027262,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8654467.png,-75.7033,35.2083,28.06,28.08,27.77,27.47,2.5,3.5,4.5,8.522,8.345,0.58,1.9,2.9,3.9
STHN7,8659084,Southport-NC,NC,-78.0183,33.9152,0.00021181,,,,,,-78.0183,33.915,16.535,15.4,12.99,10.67, , , , , , , , , 
SNSN7,8659897,Sunset-Beach-NC,NC,-78.5061,33.8651,0.00047729,,,,,,-78.5067,33.865,12.75,11.02,8.16,5.49, , , , , , , , , 
NITS1,8662245,Oyster-Landing-(N-Inlet-Estuary)-SC,SC,-79.1867,33.3517,4.34E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8662245&datum=MLLW&show=1-1-0-1-1,-79.83,32.9267,0.68614,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8662245.png,-79.1867,33.3517,10.19,9.09,6.67,3.99,,,,2.776,1.215,5.12,,,
MROS1,8661070,Mytle-Beach-Springmaid-Pier-SC,SC,-78.9183,33.655,2.77E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8661070&datum=MLLW&show=1-1-0-1-1,-78.9165,33.6549,0.0015605,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8661070.png,-78.9183,33.655,36.61,34.89,32,29.29,7.5,8.5,10,10.635,8.928,5.6,1.9,2.9,4.4
CHTS1,8665530,Charleston-SC,SC,-79.925,32.7816,0.0021269,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8665530&datum=MLLW&show=1-1-0-1-1,-79.9219,32.7818,0.002159,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8665530.png,-79.9233,32.78,10.03,8.53,5.69,2.76,7,7.5,8,2.6,0.843,5.77,1.2,1.7,2.2
NSNS1,8662793,N-Santee-Bridge-SC,SC,-79.385,33.21,0,,,,,,-79.385,33.21, , , , , , , , , , , , , 
WYSS1,8662549,S-Island-Winyah-SC,SC,-79.2683,33.2517,4.35E-05,,,,,,-79.2683,33.2517, ,6.68,4.56,2.56, , , , , , , , , 
HAGS1,8661991,Hagley-Waccamaw-River-SC,SC,-79.1817,33.435,2.78E-05,,,,,,-79.1817,33.435, ,5.68,3.72,1.84, , , , , , , , , 
WPIS1,8661703,Sandy-Island-SC,SC,-79.145,33.5067,3.33E-05,,,,,,-79.145,33.5067,7.8,6.93,5.09,3.25, , , , , , , , , 
PDBS1,8661093,Yauhannah_Bridge-SC,SC,-79.155,33.66,0,,,,,,-79.155,33.66, ,4.96,4.03,3.06, , , , , , , , , 
BUCS1,8661139,Bucksport-River-SC,SC,-79.095,33.6467,3.33E-05,,,,,,-79.095,33.6467,7.03,6.49,5.3,4.05, , , , , , , , , 
SOCS1,8660983,Socastee-Bridge-SC,SC,-79.005,33.6867,3.33E-05,,,,,,-79.005,33.6867, ,2.73,1.55,0.37, , , , , , , , , 
NIXS1,8660166,Nixon-Crossroads-SC,SC,-78.6483,33.855,2.77E-05,,,,,,-78.6483,33.855, ,5.49,3.12,0.94, , , , , , , , , 
FPKG1,8670870,FT-Pulaski-GA,GA,-80.9016,32.0333,0.0033671,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8670870&datum=MLLW&show=1-1-0-1-1,-80.9014,32.0346,0.0021097,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8670870.png,-80.9017,32.0367,12.83,11,7.32,3.5,9.2,9.6,10,3.353,1.066,7.5,1.7,2.1,2.5
SAPF1,8726520,Saint-Petersburg-FL,FL,-82.6266,27.76,5.90E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8726520&datum=MLLW&show=1-1-0-1-1,-82.6261,27.759,0.0011486,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8726520.png,-82.6267,27.76,6.49,5.63,4.57,3.37,7.3,9.3,1.716,1.028,2.26,3,5,7,
VAKF1,8723214,Virginia-Key-FL,FL,-80.1617,25.73,0.0016669,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8723214&datum=MLLW&show=1-1-0-1-1,-80.1617,25.7311,0.00060703,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8723214.png,-80.1617,25.7317,13.28,12.36,11.25,10.14,3.5,3.9,4.7,3.763,3.096,2.19,1.3,1.7,2.5
PCBF1,8729210,Panama-City-Beach-FL,FL,-85.88,30.2133,0.0014406,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8729210&datum=MLLW&show=1-1-0-1-1,-85.8784,30.2124,0.00093568,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8729210.png,-85.8783,30.2133,29.24,24.8,27.67,27,4.5,6,8.656,8.236,1.38,1.4,3.1,4.6,
KYWF1,8724580,Key-West-FL,FL,-81.8067,24.555,0.0014856,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8724580&datum=MLLW&show=1-1-0-1-1,-81.809,24.5559,0.0010969,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8724580.png,-81.8083,24.555,7.21,6.37,5.45,4.56,2.9,3.4,3.9,1.941,1.39,1.81,1.1,1.6,2.1
NPSF1,8725110,Naples-FL,FL,-81.8066,26.13,0.0016677,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8725110&datum=MLLW&show=1-1-0-1-1,-81.8103,26.1315,0.0032285,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8725110.png,-81.8067,26.1317,5.96,5.04,3.79,2.14,4.4,5.4,6.4,1.527,0.653,2.87,1.5,2.5,3.5
PACF1,8729108,Panama-City-FL,FL,-85.6667,30.1517,0.028794,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8729108&datum=MLLW&show=1-1-0-1-1,-85.6675,30.1524,0.028105,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8729108.png,-85.7,30.1517,5.47,4.68,4.01,3.34,3.1,5.1,6.6,1.428,1.019,1.34,1.7,3.7,5.2
ZZZZZ,8720503,Red-Bay-Point-FL,FL,-81.6283,29.9783,0.0067094,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8720503&datum=MLLW&show=1-1-0-1-1,,,,,-81.635,29.9817,0.58,0.43,-0.04,-0.57,2.6,3.1,4.1,0.13,-0.175,1,1.6,2.1,3.1
APCF1,8728690,Apalachicola-FL,FL,-84.9816,29.7266,0.0021191,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8728690&datum=MLLW&show=1-1-0-1-1,-84.98,29.729,0.0040402,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8728690.png,-84.98,29.725,6.37,5.9,5.2,4.29,3.8,5.6,8,1.799,1.307,1.61,2.1,3.9,6.3
CWBF1,8726724,Clearwater-Beach-FL,FL,-82.8316,27.9766,0.0017343,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8726724&datum=MLLW&show=1-1-0-1-1,-82.8325,27.9785,0.000807,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8726724.png,-82.8317,27.9783,5.44,4.49,3.22,1.73,7.8,9.8,1.369,0.528,2.76,3,5,7,
PMAF1,8726384,Port-Manatee-FL,FL,-82.5617,27.6383,0.0014473,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8726384&datum=MLLW&show=1-1-0-1-1,-82.5633,27.6394,0.0010767,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8726384.png,-82.5633,27.6383,3.26,2.39,1.37,0.21,7.2,9.2,0.731,0.062,2.19,3,5,7,
CKYF1,8727520,Cedar-Key-FL,FL,-83.0316,29.135,0.0021751,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8727520&datum=MLLW&show=1-1-0-1-1,-83.0303,29.1332,0.00030621,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8727520.png,-83.03,29.1333,6.65,5.6,3.84,1.8,5.2,,,1.708,0.55,3.8,1.4,,
OPTF1,8726607,Old-Port-Tampa-FL,FL,-82.5517,27.8567,0.0021802,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8726607&datum=MLLW&show=1-1-0-1-1,-82.5542,27.858,0.00079919,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8726607.png,-82.5533,27.8583,31.75,30.74,29.57,28.28,7.5,9.5,9.37,8.621,2.46,3,5,7,
FMRF1,8725520,Fort-Myers-FL,FL,-81.87,26.6467,0.0016333,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8725520&datum=MLLW&show=1-1-0-1-1,-81.8714,26.6483,0.0012083,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8725520.png,-81.87,26.6483,6.44,5.68,4.99,4.36,6.3,8.3,1.73,1.329,1.32,3,5,7,
TRDF1,8721604,Trident-Pier-FL,FL,-80.5917,28.415,0.0014366,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8721604&datum=MLLW&show=1-1-0-1-1,-80.5935,28.4158,0.00081332,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8721604.png,-80.5933,28.415,23.42,21.89,19.86,17.98,6.5,7.5,6.673,5.48,3.91,2.1,2.6,3.6,
MSBF1,8720226,Southbank-Riverwalk-FL,FL,-81.6583,30.32,2.88E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8720226&datum=MLLW&show=1-1-0-1-1,,,,,-81.6583,30.32,0.92,0.63,-0.25,-1.31,3.4,3.9,4.9,0.189,-0.418,1.99,1.4,1.9,2.9
BKBF1,8720357,I-295-Bridge-FL,FL,-81.6917,30.1917,4.41E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8720357&datum=MLLW&show=1-1-0-1-1,-81.6873,30.1917,0.0037916,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8720357.png,-81.6917,30.1917,0.58,0.37,-0.11,-0.65,2.6,3.1,4.1,0.112,-0.198,1.02,1.6,2.1,3.1
PCLF1,8729840,Pensacola-FL,FL,-87.2116,30.4033,0.0013804,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8729840&datum=MLLW&show=1-1-0-1-1,,,,,-87.21,30.4033,10.61,9.69,9.05,8.43,3.3,4.3,7.3,2.952,2.569,1.26,2,3,6
VCAF1,8723970,Vaca-Key-FL,FL,-81.105,24.7117,0.0015144,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8723970&datum=MLLW&show=1-1-0-1-1,-81.1055,24.7139,0.0024749,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8723970.png,-81.1067,24.7117,4.15,3.52,3.05,2.54,2,2.4,2.9,1.072,0.775,0.97,1,1.4,1.9
LKWF1,8722670,Lake-Worth-Pier-FL,FL,-80.0333,26.6117,0.0022311,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8722670&datum=MLLW&show=1-1-0-1-1,-80.0333,26.6117,0.0022311,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8722670.png,-80.035,26.6133,34.31,33.05,31.53,29.99,4.3,4.7,5.5,10.059,9.142,3.01,1.3,1.7,2.5
FRDF1,8720030,Fernandina-FL,FL,-81.4658,30.6714,0.00076562,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8720030&datum=MLLW&show=1-1-0-1-1,-81.4665,30.672,0.0013844,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8720030.png,-81.465,30.6717,10.07,8.26,4.99,1.7,8.6,9.1,10.3,2.517,0.518,6.56,2.1,2.6,3.8
RCYF1,8720625,Racy-Point-FL,FL,-81.5483,29.8017,0.0022508,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8720625&datum=MLLW&show=1-1-0-1-1,,,,,-81.55,29.8,1.34,0.63,0.03,-0.63,2.6,3.1,4.1,0.193,-0.191,1.26,1.4,1.9,2.9
DMSF1,8720219,Dames-Point-FL,FL,-81.5583,30.3867,4.40E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8720219&datum=MLLW&show=1-1-0-1-1,,,,,-81.5583,30.3867,8.43,7.47,5.69,3.84,5.3,5.8,6.8,2.271,1.151,3.67,1.6,2.1,3.1
MYPF1,8720218,Mayport-(Bar-Pilots-Dock)-FL,FL,-81.43,30.3967,0.0021759,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8720218&datum=MLLW&show=1-1-0-1-1,-81.43,30.3967,0.0021759,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8720218.png,-81.4283,30.3983,15.64,14.03,11.54,9.07,6.8,7.5,8.5,4.271,2.763,4.95,1.9,2.6,3.6
MCYF1,8726667,Mckay-Bay-Entrance-FL,FL,-82.425,27.9133,3.33E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8726667&datum=MLLW&show=1-1-0-1-1,-82.425,27.9133,3.33E-05,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8726667.png,-82.425,27.9133,3.95,2.94,1.72,0.27,7.7,9.7,0.895,0.081,2.67,3,5,7,
